id,key,value,type
16962445,cfcc,A41,tiger
16962445,county,"Adams, CO",tiger
16962809,gauge,1435,regular
16962809,usage,industrial,regular
16962809,railway,rail,regular
16962809,service,yard,regular
16962809,cfcc,B11,tiger
16962809,county,"Adams, CO",tiger
16962809,reviewed,no,tiger
16963143,gauge,1435,regular
16963143,railway,rail,regular
16963143,service,yard,regular
16963143,cfcc,B11,tiger
16963143,electrified,no,regular
16963143,county,"Adams, CO",tiger
16963143,reviewed,no,tiger
16963448,name,Campo Street,regular
16963448,highway,residential,regular
16963448,cfcc,A41,tiger
16963448,county,"Adams, CO",tiger
16963448,reviewed,no,tiger
16963448,name_base,Campo,tiger
16963448,name_type,St,tiger
16963729,highway,residential,regular
16963729,name,West 91st Drive,regular
16963729,cfcc,A41,tiger
16963729,county,"Adams, CO",tiger
16963729,name_base,91st,tiger
16963729,name_direction_prefix,W,tiger
16963729,name_type,Dr,tiger
16963729,reviewed,no,tiger
16964096,name,Utica Court,regular
16964096,highway,residential,regular
16964096,cfcc,A41,tiger
16964096,tlid,177463018,tiger
16964096,county,"Adams, CO",tiger
16964096,source,tiger_import_dch_v0.6_20070809,tiger
16964096,reviewed,no,tiger
16964096,name_base,Utica,tiger
16964096,name_type,Ct,tiger
16964096,separated,no,tiger
16964344,name,East 23rd Avenue,regular
16964344,highway,residential,regular
16964344,cfcc,A41,tiger
16964344,county,"Adams, CO",tiger
16964344,reviewed,no,tiger
16964344,name_base,23rd,tiger
16964344,name_type,Ave,tiger
16964344,name_direction_prefix,E,tiger
16964620,name,Emerson Street,regular
16964620,highway,residential,regular
16964620,cfcc,A41,tiger
16964620,county,"Adams, CO",tiger
16964620,reviewed,no,tiger
16964620,name_base,Emerson,tiger
16964620,name_type,St,tiger
16964838,name,Marion Way,regular
16964838,highway,residential,regular
16964838,cfcc,A41,tiger
16964838,county,"Adams, CO",tiger
16964838,reviewed,no,tiger
16964838,name_base,Marion,tiger
16964838,name_type,Way,tiger
16965128,name,Oakland Drive,regular
16965128,highway,residential,regular
16965128,cfcc,A41,tiger
16965128,tlid,177426688,tiger
16965128,county,"Adams, CO",tiger
16965128,source,tiger_import_dch_v0.6_20070809,tiger
16965128,reviewed,no,tiger
16965128,name_base,Oakland,tiger
16965128,name_type,Dr,tiger
16965128,separated,no,tiger
16965358,name,Grace Court,regular
16965358,highway,residential,regular
16965358,cfcc,A41,tiger
16965358,county,"Adams, CO",tiger
16965358,reviewed,no,tiger
16965358,name_base,Grace,tiger
16965358,name_type,Ct,tiger
16965653,highway,residential,regular
16965653,maxspeed,15 mph,regular
16965653,name,East 121st Circle,regular
16965653,oneway,no,regular
16965653,surface,dirt,regular
16965653,cfcc,A41,tiger
16965653,county,"Adams, CO",tiger
16965653,name_base,121st Circle,tiger
16965653,name_direction_prefix,E,tiger
16965653,name_type,Dr,tiger
16965653,reviewed,no,tiger
16965908,name,East 127th Drive,regular
16965908,highway,residential,regular
16965908,cfcc,A41,tiger
16965908,county,"Adams, CO",tiger
16965908,reviewed,no,tiger
16965908,name_base,127th,tiger
16965908,name_type,Dr,tiger
16965908,name_direction_prefix,E,tiger
16966174,name,Cook Drive,regular
16966174,highway,residential,regular
16966174,cfcc,A41,tiger
16966174,county,"Adams, CO",tiger
16966174,reviewed,no,tiger
16966174,name_base,Cook,tiger
16966174,name_type,Dr,tiger
16966474,name,Stuart Street,regular
16966474,highway,residential,regular
16966474,cfcc,A41,tiger
16966474,county,"Adams, CO",tiger
16966474,reviewed,no,tiger
16966474,name_base,Stuart,tiger
16966474,name_type,St,tiger
16966746,name,Holly Street,regular
16966746,highway,residential,regular
16966746,cfcc,A41,tiger
16966746,county,"Adams, CO",tiger
16966746,reviewed,no,tiger
16966746,name_base,Holly,tiger
16966746,name_type,St,tiger
16967037,name,Grant Street,regular
16967037,highway,residential,regular
16967037,cfcc,A41,tiger
16967037,county,"Adams, CO",tiger
16967037,reviewed,no,tiger
16967037,name_base,Grant,tiger
16967037,name_type,St,tiger
16967309,name,Quivas Loop,regular
16967309,highway,residential,regular
16967309,cfcc,A41,tiger
16967309,tlid,177294966,tiger
16967309,county,"Adams, CO",tiger
16967309,source,tiger_import_dch_v0.6_20070809,tiger
16967309,reviewed,no,tiger
16967309,name_base,Quivas,tiger
16967309,name_type,Loop,tiger
16967309,separated,no,tiger
16967309,upload_uuid,bulk_upload.pl-07671c32-b0c0-423d-8d4c-e8e5618258ca,tiger
16967565,name,East Montview Boulevard,regular
16967565,lanes,3,regular
16967565,oneway,no,regular
16967565,highway,tertiary,regular
16967565,surface,asphalt,regular
16967565,cfcc,A41,tiger
16967565,county,"Adams, CO",tiger
16967565,reviewed,no,tiger
16967565,name_base,Montview,tiger
16967565,name_type,Blvd,tiger
16967565,name_direction_prefix,E,tiger
16967816,name,Race Street,regular
16967816,highway,residential,regular
16967816,cfcc,A41,tiger
16967816,county,"Adams, CO",tiger
16967816,reviewed,no,tiger
16967816,name_base,Race,tiger
16967816,name_type,St,tiger
16968017,name,Harrison Street,regular
16968017,highway,residential,regular
16968017,cfcc,A41,tiger
16968017,county,"Adams, CO",tiger
16968017,reviewed,no,tiger
16968017,name_base,Harrison,tiger
16968017,name_type,St,tiger
16968280,name,East 119th Place,regular
16968280,highway,residential,regular
